particle#	x_coord	y_coord	image_name
983	1032	3596	06jul12a_00022gr_00013sq_00002hl_00004en
984	1244	384	06jul12a_00015gr_00028sq_00023hl_00004en
985	288	336	06jul12a_00015gr_00028sq_00023hl_00004en
986	528	588	06jul12a_00015gr_00028sq_00023hl_00004en
987	1188	876	06jul12a_00015gr_00028sq_00023hl_00004en
988	1220	1076	06jul12a_00015gr_00028sq_00023hl_00004en
989	936	1148	06jul12a_00015gr_00028sq_00023hl_00004en
990	720	1248	06jul12a_00015gr_00028sq_00023hl_00004en
991	524	1200	06jul12a_00015gr_00028sq_00023hl_00004en
992	824	1440	06jul12a_00015gr_00028sq_00023hl_00004en
993	552	1728	06jul12a_00015gr_00028sq_00023hl_00004en
994	180	2064	06jul12a_00015gr_00028sq_00023hl_00004en
995	468	1976	06jul12a_00015gr_00028sq_00023hl_00004en
996	384	2144	06jul12a_00015gr_00028sq_00023hl_00004en
997	404	2376	06jul12a_00015gr_00028sq_00023hl_00004en
998	348	2640	06jul12a_00015gr_00028sq_00023hl_00004en
999	396	2912	06jul12a_00015gr_00028sq_00023hl_00004en
1000	536	2684	06jul12a_00015gr_00028sq_00023hl_00004en
1001	588	2900	06jul12a_00015gr_00028sq_00023hl_00004en
1002	944	2780	06jul12a_00015gr_00028sq_00023hl_00004en
1003	960	2424	06jul12a_00015gr_00028sq_00023hl_00004en
1004	828	2120	06jul12a_00015gr_00028sq_00023hl_00004en
1005	1080	2076	06jul12a_00015gr_00028sq_00023hl_00004en
1006	1208	2256	06jul12a_00015gr_00028sq_00023hl_00004en
1007	1380	2396	06jul12a_00015gr_00028sq_00023hl_00004en
1008	1208	2864	06jul12a_00015gr_00028sq_00023hl_00004en
1009	1584	2660	06jul12a_00015gr_00028sq_00023hl_00004en
1010	1668	2832	06jul12a_00015gr_00028sq_00023hl_00004en
1011	1308	1752	06jul12a_00015gr_00028sq_00023hl_00004en
1012	1592	1580	06jul12a_00015gr_00028sq_00023hl_00004en
1013	1512	1352	06jul12a_00015gr_00028sq_00023hl_00004en
1014	1508	1140	06jul12a_00015gr_00028sq_00023hl_00004en
1015	1644	996	06jul12a_00015gr_00028sq_00023hl_00004en
1016	1920	1184	06jul12a_00015gr_00028sq_00023hl_00004en
1017	2364	1416	06jul12a_00015gr_00028sq_00023hl_00004en
1018	2256	1908	06jul12a_00015gr_00028sq_00023hl_00004en
1019	2040	1856	06jul12a_00015gr_00028sq_00023hl_00004en
1020	2076	2100	06jul12a_00015gr_00028sq_00023hl_00004en
1021	2024	2304	06jul12a_00015gr_00028sq_00023hl_00004en
1022	2240	2192	06jul12a_00015gr_00028sq_00023hl_00004en
1023	2492	2252	06jul12a_00015gr_00028sq_00023hl_00004en
1024	2628	1656	06jul12a_00015gr_00028sq_00023hl_00004en
1025	2820	1560	06jul12a_00015gr_00028sq_00023hl_00004en
1026	2828	1116	06jul12a_00015gr_00028sq_00023hl_00004en
1027	2996	1188	06jul12a_00015gr_00028sq_00023hl_00004en
1028	2484	828	06jul12a_00015gr_00028sq_00023hl_00004en
1029	2492	644	06jul12a_00015gr_00028sq_00023hl_00004en
1030	2268	332	06jul12a_00015gr_00028sq_00023hl_00004en
1031	2844	392	06jul12a_00015gr_00028sq_00023hl_00004en
1032	2996	356	06jul12a_00015gr_00028sq_00023hl_00004en
1033	2984	176	06jul12a_00015gr_00028sq_00023hl_00004en
1034	2940	636	06jul12a_00015gr_00028sq_00023hl_00004en
1035	2976	888	06jul12a_00015gr_00028sq_00023hl_00004en
1036	3224	600	06jul12a_00015gr_00028sq_00023hl_00004en
1037	3192	992	06jul12a_00015gr_00028sq_00023hl_00004en
1038	3272	1232	06jul12a_00015gr_00028sq_00023hl_00004en
1039	3276	1472	06jul12a_00015gr_00028sq_00023hl_00004en
1040	3072	1932	06jul12a_00015gr_00028sq_00023hl_00004en
1041	3380	1916	06jul12a_00015gr_00028sq_00023hl_00004en
1042	3320	2376	06jul12a_00015gr_00028sq_00023hl_00004en
1043	3140	2484	06jul12a_00015gr_00028sq_00023hl_00004en
1044	2924	2676	06jul12a_00015gr_00028sq_00023hl_00004en
1045	2676	2936	06jul12a_00015gr_00028sq_00023hl_00004en
1046	2528	3200	06jul12a_00015gr_00028sq_00023hl_00004en
1047	2832	3116	06jul12a_00015gr_00028sq_00023hl_00004en
1048	3072	3108	06jul12a_00015gr_00028sq_00023hl_00004en
1049	1248	3260	06jul12a_00015gr_00028sq_00023hl_00004en
1050	1724	3104	06jul12a_00015gr_00028sq_00023hl_00004en
1051	3596	2124	06jul12a_00015gr_00028sq_00023hl_00004en
